,fexsitu,magi,magr,massallar,colorgr,r90,r50,C2D,finnerhalo,fouterhalo,h4,sigmazghfit,grad_1,grad_3,color_grad_1,color_grad_3
0,0.3969024517124299,-23.32905575472015,-22.937121683047145,394617113913.6225,0.8206145948273011,19.22126985926856,4.5172227749838365,3.1445528348888785,0.03427090538373422,0.03274621751461666,-0.05096695201425625,336.86144877673604,-0.6164949476504153,-0.005630533295149787,-0.042451408217766835,-0.008317548095253712
1,0.4689242838904851,-22.776562530151715,-22.40251036113449,192284774104.50775,0.7861738204711273,15.015099240072404,4.355507058417602,2.687447425337898,0.04734314329758703,0.045679349425137385,-0.01728785349789562,211.12280970645497,-0.34588695696609595,-0.004853185251964749,-0.041298505652347516,-0.007028849808527226
2,0.0852763121708021,-21.901701951422375,-21.520414555006514,93610989931.3076,0.8029232433139661,2.134165139109823,0.6151036575517592,2.701398560599152,0.02778392145953826,0.020042481758518287,-0.09996052392024667,259.1187121448359,-0.2965332466368558,-0.0009635865785361991,-0.056451775447116694,-0.0013905448404646138
3,0.07419433060022444,-21.868367042338676,-21.486733606178504,89881530651.34369,0.8042939485368592,4.050903900267828,1.1617622952625462,2.7121733154249874,0.023455473027837195,0.009421932185360457,-0.04073132975335324,233.91789108741955,-0.2151767461780328,-0.0006894957586035029,-0.055760311884490515,-0.0009888951218185228
4,0.049173800948109914,-21.846923831464814,-21.45563018481218,95160429126.43428,0.8218234068516228,2.6806836275289117,0.870523646680173,2.442324945943613,0.01917959519332627,0.007361673061091223,-0.07916998438643795,263.14499208200397,-0.27898285332843176,-0.0005451718461416115,-0.05833369606150619,-0.0007983536129586355
5,0.04997639715596048,-21.49691221940077,-21.121721881273835,61166874243.86326,0.7892419520281937,10.371635942231283,2.995819883570429,2.6966578258167813,0.03817659499870316,0.02286091137379283,0.05023762054343364,131.96395630338193,-0.0932295668382392,-0.0012447399414439555,-0.0495034807439359,-0.0017677294590972893
6,0.12478556935347669,-22.101471166510677,-21.900404803975235,37324027322.4769,0.3262294098737897,7.974503573322585,3.140989438497444,2.023185904449749,0.011025891141445907,0.0035920017077592683,0.02236511279594217,83.8501834056178,-0.16390720821941665,-0.0003547457023816989,-0.009723238930170072,-0.0003175160536931898
7,0.23614631288293675,-21.6246311485581,-21.25056428322371,64839885971.83971,0.7874956614605786,12.704487735225815,3.3578113330255874,2.8895043386764447,0.032159933948488845,0.013612805221503434,-0.02816967820415514,138.5835433752743,-0.11892585911797401,-0.0007790032861807507,-0.05211659629694974,-0.0011353254042330008
8,0.07194473339833327,-21.738803804711985,-21.373063345059656,61181684775.02445,0.7686157520870687,12.296519399820532,3.762483188289987,2.5715381561264494,0.014630388503094382,0.007659645868070641,0.00294617997368143,114.95224212849548,-0.10458548552572264,-0.00042902401400608776,-0.05113325912442773,-0.0005737568332785159
9,0.1342443727681163,-21.784197723810685,-21.50489662516636,37487604852.47873,0.5528625489440202,13.62857276074888,4.487921763922781,2.412025498514842,0.01398607450237016,0.006122225131514743,0.0768465330533925,60.49462297741118,-0.09294609333931542,-0.000406571491264585,-0.030222871891106538,-0.0005113288730619559
10,0.11997082974769803,-21.242476879677348,-20.902828478803407,36748933130.427025,0.6916403046722248,13.222089131157976,3.8534268500586895,2.677264806493498,0.017310618351365405,0.006985795628122536,0.05340624431665868,65.12589320504877,-0.06306002403864323,-0.00028398334859732713,-0.0383547204144714,-0.00037031200916608497
11,0.011150658459536616,-20.70204374177029,-20.350577922696687,21182605570.52482,0.7452198884731267,1.7312316358313367,0.49922779080786356,2.700282130737457,0.013442423142661933,0.0008749335282926109,-0.04437107995538485,156.4717333232017,-0.09671076093116837,5.461953318785383e-05,-0.04800544872557692,6.883358145426399e-05
12,0.04181865781896809,-20.7574364032963,-20.39030175116227,27633598500.520103,0.7729254266492056,2.616649914078158,0.6593878824597874,2.9930232983900806,0.015866417537448614,0.005948749056888949,-0.032538812167223666,155.5247557020404,-0.11747203314295428,-0.00015923352168698438,-0.05371231523060223,-0.00020076781844142745
13,0.005940064966144607,-20.701430773404212,-20.313750288883636,33349803601.319294,0.8135689496077507,3.0768974066011157,0.8881073582023298,2.69823773715216,0.012572671786156937,0.0013551525466593795,-0.04629007224445031,167.1037721209941,-0.0658406248497872,2.723899378212172e-05,-0.05130470721935656,3.699780401760222e-05
